read_acc,fragment_id,start,stop,edit_distance
sim_rand_0, fragmetB_15, 0, 16, 7
sim_rand_0, fragmetB_17_RC, 16, 38, 0
sim_rand_0, fragmetA_20, 38, 63, 0
sim_rand_0, fragmetA_18_RC, 63, 86, 0
sim_rand_0, fragmetA_16, 86, 105, 2
sim_rand_0, fragmetB_10, 105, 119, 1
sim_rand_0, fragmetA_12, 119, 136, 0
sim_rand_0, fragmetA_19_RC, 136, 160, 1
sim_rand_0, fragmetB_18, 160, 183, 0
sim_rand_0, fragmetA_10, 183, 198, 0
sim_rand_1, Start_primer, 2, 16, 3
sim_rand_1, fragmetB_13, 16, 35, 1
sim_rand_1, fragmetB_10, 35, 49, 1
sim_rand_1, Start_primer, 49, 61, 0
sim_rand_1, fragmetB_18, 61, 85, 1
sim_rand_1, fragmetB_14, 85, 103, 2
sim_rand_1, fragmetB_17, 103, 127, 2
sim_rand_1, Start_primer, 127, 139, 0
sim_rand_1, fragmetB_15_RC, 139, 160, 1
sim_rand_1, fragmetA_17_RC, 160, 182, 0
sim_rand_2, fragmetA_20, 0, 20, 7
sim_rand_2, fragmetA_12_RC, 20, 35, 2
sim_rand_2, Start_primer_RC, 35, 59, 0
sim_rand_2, fragmetB_10, 59, 74, 0
sim_rand_2, fragmetA_11_RC, 74, 90, 1
sim_rand_2, fragmetB_14, 90, 109, 0
sim_rand_2, fragmetB_19_RC, 109, 131, 3
sim_rand_2, fragmetB_19_RC, 131, 154, 1
sim_rand_2, fragmetB_16_RC, 154, 175, 0
sim_rand_2, fragmetB_16, 175, 196, 0
sim_rand_3, End_primer, 1, 12, 4
sim_rand_3, fragmetA_16_RC, 14, 34, 1
sim_rand_3, fragmetB_14_RC, 34, 53, 0
sim_rand_3, fragmetA_10, 53, 68, 0
sim_rand_3, fragmetA_16_RC, 68, 89, 0
sim_rand_3, fragmetB_12_RC, 89, 107, 1
sim_rand_3, fragmetB_13, 108, 126, 0
sim_rand_3, fragmetA_19, 126, 150, 0
sim_rand_3, End_primer, 150, 162, 0
sim_rand_3, fragmetB_20_RC, 162, 187, 1
sim_rand_4, fragmetA_20, 0, 29, 6
sim_rand_4, fragmetB_14, 29, 49, 1
sim_rand_4, fragmetB_13_RC, 49, 67, 0
