read_acc, length, #covered, %coverage
sim_rand_0, 198, 198, 100
sim_rand_1, 182, 180, 98.9010989010989
sim_rand_2, 196, 196, 100
sim_rand_3, 187, 183, 97.86096256684492
sim_rand_4, 213, 213, 100
sim_rand_5, 197, 197, 100
sim_rand_6, 176, 169, 96.02272727272727
sim_rand_7, 178, 171, 96.06741573033707
sim_rand_8, 207, 207, 100
sim_rand_9, 191, 191, 100
sim_rand_10, 189, 179, 94.70899470899471
sim_rand_11, 209, 209, 100
sim_rand_12, 195, 194, 99.48717948717949
sim_rand_13, 185, 185, 100
sim_rand_14, 187, 182, 97.32620320855615
sim_rand_15, 183, 183, 100
sim_rand_16, 183, 183, 100
sim_rand_17, 188, 188, 100
sim_rand_18, 199, 199, 100
sim_rand_19, 212, 212, 100
sim_rand_20, 191, 191, 100
sim_rand_21, 199, 198, 99.49748743718592
sim_rand_22, 204, 200, 98.0392156862745
sim_rand_23, 207, 201, 97.10144927536231
sim_rand_24, 187, 185, 98.93048128342245
sim_rand_25, 193, 193, 100
sim_rand_26, 194, 194, 100
sim_rand_27, 189, 189, 100
sim_rand_28, 210, 206, 98.09523809523809
sim_rand_29, 192, 191, 99.47916666666666
sim_rand_30, 202, 202, 100
sim_rand_31, 186, 186, 100
sim_rand_32, 209, 209, 100
sim_rand_33, 190, 189, 99.47368421052632
sim_rand_34, 173, 169, 97.6878612716763
sim_rand_35, 194, 194, 100
sim_rand_36, 207, 202, 97.58454106280193
sim_rand_37, 205, 197, 96.09756097560975
sim_rand_38, 182, 182, 100
sim_rand_39, 207, 205, 99.03381642512076
sim_rand_40, 222, 222, 100
sim_rand_41, 178, 177, 99.43820224719101
sim_rand_42, 206, 206, 100
sim_rand_43, 194, 183, 94.3298969072165
sim_rand_44, 222, 219, 98.64864864864865
sim_rand_45, 181, 180, 99.4475138121547
sim_rand_46, 214, 214, 100
sim_rand_47, 198, 198, 100
sim_rand_48, 204, 203, 99.50980392156863
sim_rand_49, 173, 170, 98.26589595375722
sim_rand_50, 203, 202, 99.50738916256158
sim_rand_51, 224, 224, 100
sim_rand_52, 199, 199, 100
sim_rand_53, 186, 186, 100
sim_rand_54, 193, 193, 100
sim_rand_55, 196, 196, 100
sim_rand_56, 180, 178, 98.88888888888889
sim_rand_57, 186, 186, 100
sim_rand_58, 214, 208, 97.19626168224299
sim_rand_59, 208, 207, 99.51923076923077
sim_rand_60, 196, 196, 100
sim_rand_61, 201, 201, 100
sim_rand_62, 188, 182, 96.80851063829788
sim_rand_63, 207, 207, 100
sim_rand_64, 197, 195, 98.98477157360406
sim_rand_65, 205, 199, 97.07317073170731
sim_rand_66, 204, 204, 100
sim_rand_67, 184, 182, 98.91304347826086
sim_rand_68, 204, 204, 100
sim_rand_69, 209, 209, 100
sim_rand_70, 177, 177, 100
sim_rand_71, 210, 209, 99.52380952380952
sim_rand_72, 188, 188, 100
sim_rand_73, 204, 199, 97.54901960784314
sim_rand_74, 207, 207, 100
sim_rand_75, 213, 211, 99.06103286384976
sim_rand_76, 190, 190, 100
sim_rand_77, 191, 191, 100
sim_rand_78, 206, 204, 99.02912621359224
sim_rand_79, 189, 183, 96.82539682539682
sim_rand_80, 205, 205, 100
sim_rand_81, 201, 201, 100
sim_rand_82, 193, 193, 100
sim_rand_83, 183, 183, 100
sim_rand_84, 217, 210, 96.7741935483871
sim_rand_85, 196, 189, 96.42857142857143
sim_rand_86, 190, 189, 99.47368421052632
sim_rand_87, 222, 222, 100
sim_rand_88, 189, 189, 100
sim_rand_89, 208, 207, 99.51923076923077
sim_rand_90, 211, 211, 100
sim_rand_91, 198, 198, 100
sim_rand_92, 189, 185, 97.88359788359789
sim_rand_93, 192, 190, 98.95833333333334
sim_rand_94, 212, 211, 99.52830188679245
sim_rand_95, 199, 193, 96.98492462311557
sim_rand_96, 192, 190, 98.95833333333334
sim_rand_97, 181, 179, 98.89502762430939
sim_rand_98, 200, 200, 100
sim_rand_99, 184, 183, 99.45652173913044
sim_rand_100, 198, 198, 100
sim_rand_101, 200, 195, 97.5
sim_rand_102, 217, 210, 96.7741935483871
sim_rand_103, 204, 204, 100
sim_rand_104, 199, 199, 100
sim_rand_105, 216, 211, 97.68518518518519
sim_rand_106, 200, 193, 96.5
sim_rand_107, 198, 198, 100
sim_rand_108, 196, 186, 94.89795918367348
sim_rand_109, 173, 173, 100
sim_rand_110, 204, 204, 100
sim_rand_111, 202, 189, 93.56435643564357
sim_rand_112, 201, 200, 99.50248756218906
sim_rand_113, 198, 198, 100
sim_rand_114, 196, 185, 94.38775510204081
sim_rand_115, 205, 202, 98.53658536585365
sim_rand_116, 197, 197, 100
sim_rand_117, 197, 197, 100
sim_rand_118, 185, 169, 91.35135135135135
sim_rand_119, 202, 202, 100
sim_rand_120, 203, 203, 100
sim_rand_121, 186, 186, 100
sim_rand_122, 204, 204, 100
sim_rand_123, 221, 220, 99.5475113122172
sim_rand_124, 199, 198, 99.49748743718592
sim_rand_125, 209, 208, 99.52153110047847
sim_rand_126, 212, 211, 99.52830188679245
sim_rand_127, 199, 198, 99.49748743718592
sim_rand_128, 194, 187, 96.3917525773196
sim_rand_129, 172, 172, 100
sim_rand_130, 200, 200, 100
sim_rand_131, 196, 196, 100
sim_rand_132, 197, 197, 100
sim_rand_133, 215, 215, 100
sim_rand_134, 194, 193, 99.48453608247422
sim_rand_135, 189, 189, 100
sim_rand_136, 210, 198, 94.28571428571428
sim_rand_137, 197, 193, 97.96954314720813
sim_rand_138, 184, 184, 100
sim_rand_139, 185, 185, 100
sim_rand_140, 183, 183, 100
sim_rand_141, 199, 198, 99.49748743718592
sim_rand_142, 201, 200, 99.50248756218906
sim_rand_143, 199, 199, 100
sim_rand_144, 199, 195, 97.98994974874373
sim_rand_145, 200, 198, 99
sim_rand_146, 206, 206, 100
sim_rand_147, 193, 192, 99.48186528497409
sim_rand_148, 209, 209, 100
sim_rand_149, 211, 211, 100
sim_rand_150, 200, 200, 100
sim_rand_151, 224, 224, 100
sim_rand_152, 200, 200, 100
sim_rand_153, 207, 199, 96.1352657004831
sim_rand_154, 210, 201, 95.71428571428572
sim_rand_155, 209, 209, 100
sim_rand_156, 202, 202, 100
sim_rand_157, 199, 197, 98.99497487437185
sim_rand_158, 211, 211, 100
sim_rand_159, 204, 203, 99.50980392156863
sim_rand_160, 206, 206, 100
sim_rand_161, 192, 189, 98.4375
sim_rand_162, 208, 208, 100
sim_rand_163, 199, 185, 92.96482412060301
sim_rand_164, 185, 183, 98.91891891891892
sim_rand_165, 211, 210, 99.52606635071089
sim_rand_166, 208, 208, 100
sim_rand_167, 193, 192, 99.48186528497409
sim_rand_168, 217, 206, 94.93087557603687
sim_rand_169, 191, 191, 100
sim_rand_170, 206, 206, 100
sim_rand_171, 176, 168, 95.45454545454545
sim_rand_172, 190, 190, 100
sim_rand_173, 216, 216, 100
sim_rand_174, 206, 206, 100
sim_rand_175, 195, 190, 97.43589743589743
sim_rand_176, 201, 200, 99.50248756218906
sim_rand_177, 217, 217, 100
sim_rand_178, 193, 192, 99.48186528497409
