read_acc, length, #covered, %coverage
sim_rand_1, 1000, 823, 82.3
sim_rand_2, 1000, 814, 81.39999999999999
sim_rand_3, 1000, 814, 81.39999999999999
sim_rand_4, 1000, 809, 80.9
sim_rand_5, 1000, 841, 84.1
sim_rand_6, 1000, 862, 86.2
sim_rand_7, 1000, 849, 84.89999999999999
sim_rand_8, 1000, 845, 84.5
sim_rand_9, 1000, 828, 82.8
sim_rand_10, 1000, 826, 82.6
sim_rand_11, 1000, 886, 88.6
sim_rand_12, 1000, 854, 85.39999999999999
sim_rand_13, 1000, 841, 84.1
sim_rand_14, 1000, 861, 86.1
sim_rand_15, 1000, 884, 88.4
sim_rand_16, 1000, 863, 86.3
sim_rand_17, 1000, 886, 88.6
sim_rand_18, 1000, 845, 84.5
sim_rand_19, 1000, 863, 86.3
sim_rand_20, 1000, 823, 82.3
sim_rand_21, 1000, 827, 82.69999999999999
sim_rand_22, 1000, 841, 84.1
sim_rand_23, 1000, 857, 85.7
sim_rand_24, 1000, 843, 84.3
sim_rand_25, 1000, 850, 85
sim_rand_26, 1000, 858, 85.8
sim_rand_27, 1000, 875, 87.5
sim_rand_28, 1000, 838, 83.8
sim_rand_29, 1000, 857, 85.7
sim_rand_30, 1000, 876, 87.6
sim_rand_31, 1000, 822, 82.19999999999999
sim_rand_32, 1000, 861, 86.1
sim_rand_33, 1000, 856, 85.6
sim_rand_34, 1000, 847, 84.7
sim_rand_35, 1000, 856, 85.6
sim_rand_36, 1000, 835, 83.5
sim_rand_37, 1000, 838, 83.8
sim_rand_38, 1000, 831, 83.1
sim_rand_39, 1000, 890, 89
sim_rand_40, 1000, 880, 88
sim_rand_41, 1000, 898, 89.8
sim_rand_42, 1000, 882, 88.2
sim_rand_43, 1000, 876, 87.6
sim_rand_44, 1000, 815, 81.5
sim_rand_45, 1000, 852, 85.2
sim_rand_46, 1000, 842, 84.2
sim_rand_47, 1000, 856, 85.6
sim_rand_48, 1000, 844, 84.39999999999999
sim_rand_49, 1000, 839, 83.89999999999999
sim_rand_50, 1000, 818, 81.8
sim_rand_51, 1000, 812, 81.2
sim_rand_52, 1000, 851, 85.1
sim_rand_53, 1000, 815, 81.5
sim_rand_54, 1000, 840, 84
sim_rand_55, 1000, 826, 82.6
sim_rand_56, 1000, 819, 81.89999999999999
sim_rand_57, 1000, 849, 84.89999999999999
sim_rand_58, 1000, 863, 86.3
sim_rand_59, 1000, 849, 84.89999999999999
sim_rand_60, 1000, 861, 86.1
sim_rand_61, 1000, 866, 86.6
sim_rand_62, 1000, 867, 86.7
sim_rand_63, 1000, 832, 83.2
sim_rand_64, 1000, 811, 81.10000000000001
sim_rand_65, 1000, 873, 87.3
sim_rand_66, 1000, 829, 82.89999999999999
sim_rand_67, 1000, 859, 85.9
sim_rand_68, 1000, 833, 83.3
sim_rand_69, 1000, 876, 87.6
sim_rand_70, 1000, 826, 82.6
sim_rand_71, 1000, 852, 85.2
sim_rand_72, 1000, 858, 85.8
sim_rand_73, 1000, 832, 83.2
sim_rand_74, 1000, 882, 88.2
sim_rand_75, 1000, 849, 84.89999999999999
sim_rand_76, 1000, 865, 86.5
sim_rand_77, 1000, 823, 82.3
sim_rand_78, 1000, 854, 85.39999999999999
sim_rand_79, 1000, 826, 82.6
sim_rand_80, 1000, 795, 79.5
sim_rand_81, 1000, 844, 84.39999999999999
sim_rand_82, 1000, 916, 91.60000000000001
sim_rand_83, 1000, 840, 84
sim_rand_84, 1000, 840, 84
sim_rand_85, 1000, 837, 83.7
sim_rand_86, 1000, 834, 83.39999999999999
sim_rand_87, 1000, 820, 82
sim_rand_88, 1000, 853, 85.3
sim_rand_89, 1000, 806, 80.60000000000001
sim_rand_90, 1000, 848, 84.8
sim_rand_91, 1000, 829, 82.89999999999999
sim_rand_92, 1000, 875, 87.5
sim_rand_93, 1000, 858, 85.8
sim_rand_94, 1000, 852, 85.2
sim_rand_95, 1000, 844, 84.39999999999999
sim_rand_96, 1000, 841, 84.1
sim_rand_97, 1000, 853, 85.3
sim_rand_98, 1000, 818, 81.8
sim_rand_99, 1000, 880, 88
sim_rand_100, 1000, 847, 84.7
sim_rand_101, 1000, 851, 85.1
sim_rand_102, 1000, 893, 89.3
sim_rand_103, 1000, 867, 86.7
sim_rand_104, 1000, 854, 85.39999999999999
sim_rand_105, 1000, 853, 85.3
sim_rand_106, 1000, 839, 83.89999999999999
sim_rand_107, 1000, 864, 86.4
sim_rand_108, 1000, 839, 83.89999999999999
sim_rand_109, 1000, 846, 84.6
sim_rand_110, 1000, 835, 83.5
sim_rand_111, 1000, 841, 84.1
sim_rand_112, 1000, 829, 82.89999999999999
sim_rand_113, 1000, 867, 86.7
sim_rand_114, 1000, 850, 85
sim_rand_115, 1000, 891, 89.1
sim_rand_116, 1000, 865, 86.5
sim_rand_117, 1000, 833, 83.3
sim_rand_118, 1000, 855, 85.5
sim_rand_119, 1000, 849, 84.89999999999999
