Error Rate	Identity	#Reads fully mapped	Runtime(s)	Memory(kbytes)	# frags detected	# frags missed
0	0.75	1000	3.93	5660	10000	0
0	0.5	1000	4.94	5640	10000	0
0	0.25	1000	5.37	5816	10000	0
1	0.75	1000	2.32	5408	10000	0
1	0.5	1000	3.17	5748	10000	0
1	0.25	1000	3.08	5748	10000	0
5	0.75	990	2.33	5564	9990	10
5	0.5	1000	3.13	5712	10000	0
5	0.25	1000	3.28	5864	10000	0
10	0.75	862	2.38	5496	9850	150
10	0.5	998	3.24	5684	9998	2
10	0.25	998	3.32	5868	9998	2
15	0.75	847	2.38	5480	9344	656
15	0.5	965	3.00	5736	9964	36
15	0.25	972	3.30	5720	9972	28
20	0.75	149	4.01	5420	8314	1686
20	0.5	851	3.44	5844	9824	176
20	0.25	881	3.64	5824	9868	132
25	0.75	17	2.20	5012	6693	3307
25	0.5	619	3.11	5736	9530	470
25	0.25	694	3.30	5816	9623	377
30	0.75	0	1.99	5184	4754	5246
30	0.5	352	3.83	5880	8973	1027
30	0.25	398	3.72	5884	9059	941
