read_acc,fragment_id,start,stop,edit_distance
sim_rand_1, 14nt_1, 8, 26, 7
sim_rand_1, 20nt_2, 37, 62, 11
sim_rand_1, 14nt_2, 65, 84, 6
sim_rand_1, 14nt_1, 84, 101, 7
sim_rand_1, 14nt_1, 106, 128, 7
sim_rand_1, 18nt_1, 140, 161, 9
sim_rand_1, 14nt_2, 161, 180, 8
sim_rand_1, 5mer_5, 186, 217, 13
sim_rand_1, 4mer_3, 220, 252, 13
sim_rand_1, 16nt_1, 265, 288, 9
sim_rand_1, 16nt_1, 294, 314, 6
sim_rand_1, trimer_2, 319, 354, 15
sim_rand_1, trimer_1, 355, 385, 12
sim_rand_1, 5mer_3, 388, 416, 11
sim_rand_1, 14nt_1, 418, 433, 10
sim_rand_1, 16nt_1, 434, 456, 8
sim_rand_1, 14nt_2, 466, 486, 7
sim_rand_1, trimer_3, 492, 522, 13
sim_rand_1, 4mer_1, 532, 560, 11
sim_rand_1, 5mer_2, 573, 600, 10
sim_rand_1, 4mer_4, 602, 633, 15
sim_rand_1, 14nt_2, 640, 658, 5
sim_rand_1, 18nt_2, 663, 684, 8
sim_rand_1, 14nt_1, 686, 702, 9
sim_rand_1, 16nt_2, 702, 719, 6
sim_rand_1, 16nt_1, 730, 752, 8
sim_rand_1, 14nt_2, 754, 770, 8
sim_rand_1, 16nt_2, 774, 794, 7
sim_rand_1, 14nt_1, 794, 812, 10
sim_rand_1, 4mer_2, 812, 843, 13
sim_rand_1, 14nt_1, 847, 863, 8
sim_rand_1, 16nt_2, 864, 882, 7
sim_rand_1, 14nt_1, 885, 903, 9
sim_rand_1, 14nt_1, 903, 923, 7
sim_rand_1, 14nt_1, 926, 944, 9
sim_rand_1, 16nt_1, 945, 968, 9
sim_rand_1, 14nt_1, 975, 993, 8
sim_rand_2, 14nt_2, 14, 31, 5
sim_rand_2, 14nt_2, 35, 51, 8
sim_rand_2, 16nt_1, 53, 74, 7
sim_rand_2, 18nt_1, 74, 97, 9
sim_rand_2, 5mer_4, 109, 139, 11
sim_rand_2, 14nt_1, 151, 172, 7
sim_rand_2, 5mer_5, 175, 207, 12
sim_rand_2, 14nt_2, 218, 235, 8
sim_rand_2, trimer_1, 235, 266, 12
sim_rand_2, 14nt_1, 271, 292, 7
sim_rand_2, 18nt_2, 302, 327, 10
sim_rand_2, 14nt_2, 329, 347, 8
sim_rand_2, 18nt_1, 349, 372, 8
sim_rand_2, 14nt_1, 378, 400, 8
sim_rand_2, 14nt_2, 407, 425, 7
sim_rand_2, 14nt_2, 430, 449, 6
sim_rand_2, 20nt_1, 449, 470, 10
sim_rand_2, 4mer_2, 473, 503, 13
sim_rand_2, 18nt_1, 506, 527, 8
sim_rand_2, 14nt_1, 536, 555, 8
sim_rand_2, 14nt_2, 558, 577, 7
sim_rand_2, 5mer_2, 580, 612, 12
sim_rand_2, 14nt_2, 620, 641, 8
sim_rand_2, 16nt_1, 641, 658, 8
sim_rand_2, 16nt_1, 662, 683, 7
sim_rand_2, 14nt_1, 692, 709, 6
sim_rand_2, trimer_1, 721, 755, 13
sim_rand_2, trimer_2, 755, 784, 12
sim_rand_2, 14nt_1, 794, 812, 7
sim_rand_2, 16nt_2, 818, 837, 8
sim_rand_2, 5mer_2, 840, 871, 12
sim_rand_2, 16nt_1, 872, 891, 8
sim_rand_2, 4mer_4, 892, 921, 12
sim_rand_2, 14nt_2, 927, 947, 7
sim_rand_2, 16nt_1, 949, 974, 9
sim_rand_2, 14nt_1, 974, 992, 9
sim_rand_3, 14nt_1, 11, 29, 6
sim_rand_3, 14nt_2, 40, 59, 6
sim_rand_3, 16nt_2, 64, 87, 8
sim_rand_3, 14nt_1, 102, 121, 7
sim_rand_3, trimer_2, 131, 163, 14
sim_rand_3, 14nt_2, 163, 185, 8
sim_rand_3, 16nt_2, 185, 200, 9
sim_rand_3, 16nt_2, 200, 220, 6
sim_rand_3, 16nt_1, 222, 246, 10
sim_rand_3, 5mer_4, 253, 286, 13
sim_rand_3, 18nt_2, 292, 315, 11
sim_rand_3, 5mer_1, 315, 343, 10
sim_rand_3, 18nt_1, 352, 374, 8
sim_rand_3, 5mer_5, 378, 411, 12
sim_rand_3, 20nt_2, 411, 433, 10
sim_rand_3, 14nt_2, 438, 456, 7
sim_rand_3, 18nt_1, 459, 477, 10
sim_rand_3, 14nt_2, 478, 498, 7
sim_rand_3, 14nt_2, 498, 514, 7
sim_rand_3, 14nt_1, 514, 529, 9
sim_rand_3, 14nt_1, 529, 546, 6
sim_rand_3, 18nt_1, 546, 567, 10
sim_rand_3, 16nt_1, 574, 599, 8
sim_rand_3, 20nt_2, 608, 637, 10
sim_rand_3, 4mer_1, 641, 665, 11
sim_rand_3, 16nt_1, 665, 683, 7
sim_rand_3, 18nt_2, 697, 718, 8
sim_rand_3, 5mer_5, 720, 752, 12
sim_rand_3, 18nt_2, 758, 782, 9
sim_rand_3, 4mer_4, 794, 830, 12
sim_rand_3, 18nt_1, 840, 863, 7
sim_rand_3, 14nt_2, 863, 876, 8
sim_rand_3, 16nt_1, 876, 895, 8
sim_rand_3, 18nt_1, 899, 920, 8
sim_rand_3, 4mer_1, 929, 959, 11
sim_rand_3, 14nt_1, 969, 990, 7
sim_rand_4, 16nt_1, 1, 20, 12
sim_rand_4, 18nt_2, 20, 42, 7
sim_rand_4, 14nt_1, 44, 59, 8
sim_rand_4, 4mer_2, 59, 89, 11
sim_rand_4, 14nt_1, 101, 120, 8
sim_rand_4, trimer_1, 122, 155, 13
sim_rand_4, 18nt_1, 163, 184, 9
sim_rand_4, 4mer_4, 189, 219, 11
sim_rand_4, 18nt_2, 231, 254, 10
sim_rand_4, 5mer_3, 260, 290, 12
sim_rand_4, 18nt_1, 293, 315, 8
sim_rand_4, 14nt_2, 315, 330, 8
sim_rand_4, 14nt_1, 332, 353, 9
sim_rand_4, 5mer_5, 363, 400, 13
sim_rand_4, 14nt_2, 404, 420, 5
sim_rand_4, 5mer_5, 432, 465, 13
sim_rand_4, 16nt_2, 475, 494, 7
sim_rand_4, 16nt_2, 508, 527, 8
sim_rand_4, 16nt_1, 536, 558, 7
sim_rand_4, 16nt_1, 558, 577, 7
sim_rand_4, 20nt_1, 585, 609, 8
sim_rand_4, 5mer_2, 621, 653, 12
sim_rand_4, 5mer_2, 653, 688, 14
sim_rand_4, 14nt_2, 699, 716, 6
sim_rand_4, 14nt_2, 716, 733, 8
sim_rand_4, 5mer_2, 736, 768, 12
sim_rand_4, 14nt_1, 770, 786, 8
sim_rand_4, 18nt_1, 786, 809, 7
sim_rand_4, 14nt_2, 813, 831, 7
sim_rand_4, 14nt_1, 833, 854, 7
sim_rand_4, 14nt_1, 859, 873, 8
sim_rand_4, 16nt_1, 873, 893, 6
sim_rand_4, 16nt_1, 902, 925, 8
sim_rand_4, 16nt_2, 929, 950, 8
sim_rand_4, 4mer_4, 962, 993, 11
sim_rand_5, 14nt_1, 0, 17, 7
sim_rand_5, 14nt_1, 17, 29, 8
sim_rand_5, 14nt_2, 29, 51, 7
sim_rand_5, 5mer_3, 54, 80, 12
sim_rand_5, 18nt_1, 81, 106, 9
sim_rand_5, 14nt_1, 114, 130, 6
sim_rand_5, 4mer_2, 142, 179, 12
sim_rand_5, 14nt_1, 180, 195, 8
sim_rand_5, 14nt_2, 198, 216, 8
sim_rand_5, 14nt_2, 219, 237, 7
sim_rand_5, 14nt_1, 237, 252, 10
sim_rand_5, 14nt_2, 252, 268, 6
sim_rand_5, 14nt_2, 273, 291, 7
sim_rand_5, 16nt_2, 297, 315, 8
sim_rand_5, 18nt_2, 320, 340, 8
sim_rand_5, 4mer_2, 340, 364, 12
sim_rand_5, 4mer_1, 365, 397, 13
sim_rand_5, 14nt_2, 403, 419, 6
sim_rand_5, 14nt_2, 422, 436, 8
sim_rand_5, 20nt_1, 438, 464, 10
sim_rand_5, 14nt_2, 469, 486, 6
sim_rand_5, 16nt_1, 498, 517, 7
sim_rand_5, 14nt_2, 519, 531, 8
sim_rand_5, 4mer_4, 531, 565, 14
sim_rand_5, 16nt_1, 574, 593, 7
sim_rand_5, 16nt_2, 605, 628, 9
sim_rand_5, 4mer_3, 628, 658, 13
sim_rand_5, 14nt_2, 660, 676, 6
sim_rand_5, 14nt_1, 682, 701, 8
sim_rand_5, 16nt_1, 708, 725, 8
sim_rand_5, 18nt_2, 725, 747, 8
sim_rand_5, 5mer_2, 756, 784, 12
sim_rand_5, 5mer_4, 786, 818, 13
sim_rand_5, 14nt_1, 819, 832, 8
sim_rand_5, 14nt_2, 832, 851, 8
sim_rand_5, trimer_1, 859, 889, 12
sim_rand_5, 5mer_3, 893, 926, 13
sim_rand_5, 4mer_2, 932, 965, 13
sim_rand_5, 18nt_2, 975, 995, 7
sim_rand_6, 5mer_1, 1, 32, 13
sim_rand_6, 16nt_1, 37, 52, 8
sim_rand_6, 5mer_4, 53, 80, 9
sim_rand_6, trimer_1, 80, 108, 11
sim_rand_6, 14nt_2, 108, 126, 9
sim_rand_6, 4mer_3, 127, 155, 12
sim_rand_6, 14nt_1, 156, 172, 7
sim_rand_6, 16nt_2, 172, 193, 9
sim_rand_6, 14nt_2, 194, 214, 7
sim_rand_6, 4mer_3, 224, 257, 15
sim_rand_6, 5mer_5, 261, 291, 11
sim_rand_6, 18nt_2, 298, 322, 9
sim_rand_6, trimer_1, 323, 358, 14
sim_rand_6, 14nt_1, 364, 384, 6
sim_rand_6, 16nt_2, 384, 400, 7
sim_rand_6, 20nt_2, 400, 424, 10
sim_rand_6, 18nt_1, 433, 456, 7
sim_rand_6, 16nt_2, 461, 483, 9
sim_rand_6, 20nt_1, 486, 512, 11
sim_rand_6, 14nt_1, 519, 538, 7
sim_rand_6, 5mer_3, 552, 583, 12
sim_rand_6, 16nt_2, 583, 600, 10
sim_rand_6, trimer_1, 605, 634, 11
sim_rand_6, 5mer_3, 634, 664, 13
sim_rand_6, 14nt_2, 670, 688, 7
